date,location,cases_total,cases_active,cases_recovered,deaths
2021/05/15,City Of Edmonton,58764,3747.0,54147.0,870.0
2020/06/29,City Of Edmonton,850,221.0,615.0,14.0
2021/03/16,City Of Edmonton,45077,981.0,43273.0,823.0
2020/11/27,City Of Edmonton,18283,5484.0,12595.0,204.0
2020/08/24,City Of Edmonton,2431,547.0,1827.0,57.0
2020/10/13,City Of Edmonton,6174,1235.0,4857.0,82.0
2021/02/24,City Of Edmonton,43619,720.0,42099.0,800.0
2021/01/03,City Of Edmonton,37020,4909.0,31603.0,508.0
2020/10/01,City Of Edmonton,4799,768.0,3958.0,73.0
2021/02/01,City Of Edmonton,42124,1810.0,39589.0,725.0
2020/08/16,City Of Edmonton,2099,534.0,1511.0,54.0
2021/05/24,City Of Edmonton,59999,2376.0,56744.0,879.0
2020/06/04,City Of Edmonton,415,46.0,357.0,12.0
2021/05/02,City Of Edmonton,55002,4236.0,49910.0,856.0
2021/02/23,City Of Edmonton,43534,733.0,42005.0,796.0
2020/11/22,City Of Edmonton,15884,4701.0,11007.0,176.0
2021/04/13,City Of Edmonton,49106,2590.0,45665.0,851.0
2020/11/23,City Of Edmonton,16311,4815.0,11306.0,190.0
2021/05/05,City Of Edmonton,56098,4276.0,50964.0,858.0
2020/10/15,City Of Edmonton,6427,1268.0,5076.0,83.0
2020/07/12,City Of Edmonton,1047,172.0,858.0,17.0
2020/12/10,City Of Edmonton,26659,7805.0,18572.0,282.0
2021/03/08,City Of Edmonton,44523,1008.0,42705.0,810.0
2021/03/24,City Of Edmonton,45852,1206.0,43813.0,833.0
2021/02/25,City Of Edmonton,43727,740.0,42186.0,801.0
2020/09/03,City Of Edmonton,2949,500.0,2389.0,60.0
2021/03/21,City Of Edmonton,45569,1155.0,43584.0,830.0
2020/12/28,City Of Edmonton,34875,5447.0,28972.0,456.0
2020/04/08,City Of Edmonton,246,162.0,80.0,4.0
2021/01/07,City Of Edmonton,38227,4520.0,33152.0,555.0
2020/05/25,City Of Edmonton,374,47.0,315.0,12.0
2021/04/04,City Of Edmonton,47192,1629.0,44722.0,841.0
2020/04/13,City Of Edmonton,272,123.0,143.0,6.0
2020/09/01,City Of Edmonton,2826,488.0,2278.0,60.0
2021/01/16,City Of Edmonton,40125,3535.0,35954.0,636.0
2021/03/13,City Of Edmonton,44856,974.0,43061.0,821.0
2020/08/12,City Of Edmonton,1875,428.0,1393.0,54.0
2021/04/22,City Of Edmonton,51874,3717.0,47300.0,857.0
2020/04/06,City Of Edmonton,239,184.0,51.0,4.0
2020/11/16,City Of Edmonton,12980,3294.0,9528.0,158.0
2020/10/27,City Of Edmonton,8240,1847.0,6298.0,95.0
2020/06/14,City Of Edmonton,558,165.0,381.0,12.0
2020/07/22,City Of Edmonton,1218,201.0,990.0,27.0
2020/06/28,City Of Edmonton,839,231.0,594.0,14.0
2021/05/11,City Of Edmonton,57814,4135.0,52817.0,862.0
2020/12/05,City Of Edmonton,23250,7243.0,15757.0,250.0
2021/05/17,City Of Edmonton,59132,3517.0,54744.0,871.0
2020/05/09,City Of Edmonton,363,62.0,290.0,11.0
2020/06/21,City Of Edmonton,699,226.0,460.0,13.0
2020/12/04,City Of Edmonton,22638,7084.0,15316.0,238.0
2021/04/19,City Of Edmonton,50836,3376.0,46605.0,855.0
2021/02/19,City Of Edmonton,43318,957.0,41583.0,778.0
2020/06/19,City Of Edmonton,665,213.0,439.0,13.0
2020/04/17,City Of Edmonton,301,110.0,184.0,7.0
2020/06/26,City Of Edmonton,790,210.0,566.0,14.0
2020/10/26,City Of Edmonton,8127,1886.0,6148.0,93.0
2020/11/28,City Of Edmonton,18821,5710.0,12901.0,210.0
2021/01/18,City Of Edmonton,40362,3214.0,36505.0,643.0
2020/05/28,City Of Edmonton,378,48.0,318.0,12.0
2021/01/09,City Of Edmonton,38673,4534.0,33562.0,577.0
2021/05/14,City Of Edmonton,58562,3849.0,53844.0,869.0
2021/03/12,City Of Edmonton,44790,969.0,43003.0,818.0
2020/05/29,City Of Edmonton,381,50.0,319.0,12.0
2021/04/10,City Of Edmonton,48463,2297.0,45321.0,845.0
2020/04/09,City Of Edmonton,255,159.0,92.0,4.0
2021/02/10,City Of Edmonton,42809,1281.0,40775.0,753.0
2021/01/19,City Of Edmonton,40557,3041.0,36864.0,652.0
2021/04/09,City Of Edmonton,48250,2172.0,45234.0,844.0
2020/10/08,City Of Edmonton,5681,1167.0,4436.0,78.0
2021/04/14,City Of Edmonton,49416,2759.0,45805.0,852.0
2020/11/29,City Of Edmonton,19311,5863.0,13236.0,212.0
2021/05/23,City Of Edmonton,59921,2550.0,56495.0,876.0
2020/06/20,City Of Edmonton,688,226.0,449.0,13.0
2020/12/27,City Of Edmonton,34575,5754.0,28376.0,445.0
2021/05/25,City Of Edmonton,60080,2172.0,57027.0,881.0
2021/02/22,City Of Edmonton,43444,751.0,41903.0,790.0
2020/08/03,City Of Edmonton,1502,259.0,1195.0,48.0
2020/09/22,City Of Edmonton,4118,729.0,3322.0,67.0
2021/03/01,City Of Edmonton,43998,842.0,42355.0,801.0
2021/04/15,City Of Edmonton,49731,2913.0,45966.0,852.0
2020/08/09,City Of Edmonton,1720,356.0,1312.0,52.0
2021/02/14,City Of Edmonton,43005,1133.0,41103.0,769.0
2020/08/10,City Of Edmonton,1765,365.0,1348.0,52.0
2020/12/17,City Of Edmonton,30739,7581.0,22818.0,340.0
2021/03/02,City Of Edmonton,44081,863.0,42415.0,803.0
2020/12/21,City Of Edmonton,32431,6962.0,25096.0,373.0
2021/05/06,City Of Edmonton,56450,4287.0,51305.0,858.0
2020/04/24,City Of Edmonton,326,87.0,230.0,9.0
2020/05/22,City Of Edmonton,374,51.0,311.0,12.0
2020/04/28,City Of Edmonton,342,85.0,247.0,10.0
2021/03/25,City Of Edmonton,45953,1238.0,43881.0,834.0
2021/05/12,City Of Edmonton,58092,4077.0,53148.0,867.0
2020/04/11,City Of Edmonton,266,135.0,125.0,6.0
2020/07/15,City Of Edmonton,1095,184.0,891.0,20.0
2021/01/29,City Of Edmonton,41890,2009.0,39167.0,714.0
2020/06/05,City Of Edmonton,425,56.0,357.0,12.0
2021/02/12,City Of Edmonton,42923,1204.0,40954.0,765.0
2021/01/08,City Of Edmonton,38471,4678.0,33222.0,571.0
2020/05/03,City Of Edmonton,358,83.0,264.0,11.0
2020/06/25,City Of Edmonton,777,223.0,540.0,14.0
2021/05/27,City Of Edmonton,60252,1886.0,57483.0,883.0
2020/07/26,City Of Edmonton,1317,246.0,1036.0,35.0
2021/01/21,City Of Edmonton,40879,2877.0,37336.0,666.0
2020/07/27,City Of Edmonton,1334,246.0,1051.0,37.0
2021/01/26,City Of Edmonton,41617,2321.0,38591.0,705.0
2020/11/02,City Of Edmonton,9317,2077.0,7131.0,109.0
2020/09/20,City Of Edmonton,3964,650.0,3248.0,66.0
2020/05/17,City Of Edmonton,369,51.0,307.0,11.0
2020/06/22,City Of Edmonton,724,223.0,488.0,13.0
2020/05/04,City Of Edmonton,357,82.0,264.0,11.0
2020/09/16,City Of Edmonton,3746,672.0,3008.0,66.0
2020/10/22,City Of Edmonton,7395,1453.0,5853.0,89.0
2021/03/18,City Of Edmonton,45326,1088.0,43415.0,823.0
2021/01/14,City Of Edmonton,39737,3603.0,35511.0,623.0
2021/04/26,City Of Edmonton,53049,4021.0,48174.0,854.0
2020/09/14,City Of Edmonton,3561,584.0,2911.0,66.0
2020/05/16,City Of Edmonton,369,51.0,307.0,11.0
2020/11/21,City Of Edmonton,15269,4309.0,10784.0,176.0
2021/05/20,City Of Edmonton,59624,3007.0,55743.0,874.0
2020/09/17,City Of Edmonton,3780,629.0,3085.0,66.0
2021/05/07,City Of Edmonton,56773,4273.0,51642.0,858.0
2021/05/18,City Of Edmonton,59336,3355.0,55108.0,873.0
2020/06/15,City Of Edmonton,582,185.0,385.0,12.0
2020/12/09,City Of Edmonton,25922,7715.0,17933.0,274.0
2021/04/27,City Of Edmonton,53390,4104.0,48432.0,854.0
2020/09/02,City Of Edmonton,2871,480.0,2331.0,60.0
2020/08/23,City Of Edmonton,2396,567.0,1773.0,56.0
2020/11/11,City Of Edmonton,11514,2713.0,8664.0,137.0
