name,local health area,active cases,recovered cases,total cases,deaths,dose 1,dose 2,total dose administered,# of total outbreaks,population,population region,population ratio,age (0-14),age (15-64),age (65-84),age (85+),male,female,avg household size,non-immigrants,immigrants,recent immigrants,non pr,aboriginal,no certificate,high school,post-secondary,# of population over 15,labour participation rate,employement rate,driver+passenger,public transit,walked+bike,low income
erlton,Elbow,1.0,44.0,47.0,1.0,684.0,160.0,844.0,0.0,1280,50890.0,0.02515228925132639,105,1075,90,15,670,615,1.9,1050,210,45,20,55,65,195,915.0,1175.0,0.82,0.75,450,120.0,195,45
Kelvin Grove,Elbow,2.0,68.0,71.0,1.0,1042.0,244.0,1286.0,0.0,1950,50890.0,0.03831794065631755,295,1340,245,70,935,1020,2.3,1450,405,110,95,20,140,445,1080.0,1655.0,0.69,0.62,790,100.0,55,180
Lower Mount Royal,Elbow,3.0,111.0,116.0,2.0,1707.0,400.0,2107.0,0.0,3195,50890.0,0.06278247199842799,115,2815,250,10,1660,1535,1.5,2250,795,250,155,75,200,685,2200.0,3080.0,0.83,0.74,1055,385.0,710,500
Mayfair,Elbow,0.0,17.0,17.0,0.0,254.0,59.0,313.0,0.0,475,50890.0,0.009333857339359403,95,330,40,0,230,245,3.2,380,60,0,30,0,15,85,280.0,380.0,0.67,0.58,140,15.0,0,10
Meadowlark Park,Elbow,1.0,22.0,24.0,0.0,345.0,81.0,425.0,0.0,645,50890.0,0.012674395755551189,90,480,45,30,345,300,2.4,470,175,30,0,10,50,130,375.0,555.0,0.73,0.61,220,65.0,45,10
North Glenmore Park,Elbow,3.0,90.0,95.0,2.0,1386.0,325.0,1711.0,0.0,2595,50890.0,0.05099233641186874,435,1770,320,65,1295,1300,2.5,2230,360,15,10,105,235,605,1320.0,2160.0,0.69,0.63,1020,120.0,80,150
Oakridge,Elbow,6.0,202.0,212.0,4.0,3101.0,726.0,3828.0,1.0,5805,50890.0,0.1140695617999607,910,3690,1145,60,2865,2935,2.5,4515,1240,190,40,120,455,1055,3385.0,4895.0,0.65,0.6,2130,285.0,120,305
Palliser,Elbow,3.0,120.0,125.0,2.0,1838.0,430.0,2268.0,0.0,3440,50890.0,0.06759677736293968,435,2005,845,160,1660,1780,2.0,2395,980,210,70,105,255,865,1885.0,3005.0,0.59,0.53,1110,220.0,85,345
Parkhill,Elbow,2.0,60.0,63.0,1.0,919.0,215.0,1134.0,0.0,1720,50890.0,0.03379838868146984,255,1255,210,0,855,865,2.2,1335,345,95,45,45,110,300,1055.0,1470.0,0.74,0.67,620,125.0,90,220
Pump Hill,Elbow,1.0,50.0,53.0,1.0,772.0,181.0,953.0,0.0,1445,50890.0,0.02839457653763018,210,830,355,45,670,770,2.5,1070,325,15,45,25,160,280,795.0,1235.0,0.54,0.5,455,30.0,30,125
Rideau Park,Elbow,1.0,22.0,23.0,0.0,334.0,78.0,412.0,0.0,625,50890.0,0.012281391235999214,55,405,130,30,320,305,2.0,530,95,20,0,0,30,75,460.0,565.0,0.69,0.59,190,35.0,50,10
Riverbend​,Elbow,10.0,337.0,354.0,7.0,5182.0,1214.0,6396.0,1.0,9700,50890.0,0.1906071919827078,1305,7500,825,75,4935,4765,2.8,7435,2190,325,80,315,1180,2495,4720.0,8395.0,0.77,0.71,4705,590.0,240,390
Roxboro,Elbow,0.0,15.0,15.0,0.0,227.0,53.0,280.0,0.0,425,50890.0,0.008351346040479466,55,330,30,0,215,210,2.8,370,60,0,0,0,45,55,270.0,370.0,0.65,0.62,130,10.0,55,15
