name,local health area,active cases,recovered cases,total cases,deaths,dose 1,dose 2,total dose administered,# of total outbreaks,population,population region,population ratio,age (0-14),age (15-64),age (65-84),age (85+),male,female,avg household size,non-immigrants,immigrants,recent immigrants,non pr,aboriginal,no certificate,high school,post-secondary,# of population over 15,labour participation rate,employement rate,driver+passenger,public transit,walked+bike,low income
OXFORD (3320) ( 2.7%),Castle Downs,8.0,296.0,305.0,1.0,2253.0,375.0,2628.0,0.0,218.0,69790.0,0.05595357501074653,760,2800,330,10,1925,1980,3.3,2380,1470,240,50,120,580,935,1625,3140,70.6,65.3,1735,180,35,355.0
PEMBINA (3340) ( 9.1%),Castle Downs,1.0,42.0,44.0,0.0,323.0,54.0,377.0,0.0,4.0,69790.0,0.00802407221664995,70,395,85,10,290,270,2.6,340,215,25,10,15,95,115,280,490,70.1,66.0,285,0,20,80.0
RAPPERSWILL (3370) ( 5.2%),Castle Downs,5.0,180.0,185.0,1.0,1370.0,228.0,1598.0,0.0,81.0,69790.0,0.03403066341882791,555,1770,45,0,1185,1195,3.1,1440,900,350,35,65,225,420,1180,1820,84.3,79.7,1260,105,35,30.0
ALBANY (3460) ( 8.8%),Castle Downs,3.0,102.0,105.0,0.0,776.0,129.0,905.0,0.0,26.0,69790.0,0.019272102020346755,315,995,30,10,700,645,3.0,840,485,110,20,25,110,295,625,1030,85.4,81.1,740,40,10,90.0
CARLTON (3470) ( 5.0%),Castle Downs,11.0,400.0,412.0,2.0,3047.0,507.0,3554.0,0.0,399.0,69790.0,0.07565553804269953,1380,3565,320,15,2600,2685,3.2,3470,1665,285,145,145,590,1040,2275,3905,77.2,72.7,2450,175,40,395.0
HUDSON (3480) ( 6.0%),Castle Downs,5.0,191.0,197.0,1.0,1454.0,242.0,1696.0,0.0,91.0,69790.0,0.03610832497492478,505,1875,130,10,1265,1250,3.3,1480,1015,210,25,45,405,575,1035,2010,75.1,68.9,1195,95,50,130.0
DECOTEAU (6663) ( 5.6%),Castle Downs,1.0,24.0,25.0,0.0,185.0,31.0,215.0,0.0,1.0,69790.0,0.004585184123799971,60,215,45,0,180,140,2.9,215,105,20,0,20,40,70,150,260,69.8,67.9,140,0,0,20.0
BLUE QUILL (5060) ( 5.9%),Duggan,7.0,217.0,232.0,8.0,3028.0,578.0,3606.0,1.0,558.0,37480.0,0.12206510138740662,840,3335,385,10,2335,2235,2.9,2340,1865,915,375,140,460,855,2425,3735,71.1,64.3,1560,620,70,730.0
DUGGAN (5160) ( 7.8%),Duggan,7.0,217.0,232.0,8.0,3031.0,579.0,3610.0,1.0,560.0,37480.0,0.12219850586979722,850,3085,590,55,2240,2340,3.0,3000,1455,565,125,235,460,910,2360,3730,66.5,60.6,1590,350,170,460.0
EMPIRE PARK (5170) ( 7.9%),Duggan,8.0,255.0,273.0,10.0,3564.0,680.0,4244.0,1.0,774.0,37480.0,0.14367662753468516,695,4380,295,20,2785,2595,2.7,2955,1555,770,880,250,470,1615,2605,4690,70.1,62.3,1635,895,295,1130.0
