date,location,cases_total,cases_active,cases_recovered,deaths
2020/09/03,Centre,387,39.0,347.0,1.0
2020/04/25,Centre,61,30.0,30.0,1.0
2020/05/25,Centre,152,30.0,120.0,2.0
2020/08/04,Centre,318,22.0,295.0,1.0
2021/04/14,Centre,2834,383.0,2440.0,11.0
2020/04/13,Centre,32,8.0,24.0,0.0
2020/12/13,Centre,1508,329.0,1173.0,6.0
2021/03/14,Centre,2203,96.0,2096.0,11.0
2020/09/16,Centre,414,27.0,386.0,1.0
2020/08/17,Centre,337,17.0,319.0,1.0
2021/01/07,Centre,1843,155.0,1680.0,8.0
2021/05/06,Centre,3408,356.0,3041.0,11.0
2020/07/09,Centre,220,19.0,200.0,1.0
2021/03/02,Centre,2128,97.0,2021.0,10.0
2020/10/25,Centre,565,70.0,492.0,3.0
2020/06/13,Centre,171,19.0,151.0,1.0
2021/05/21,Centre,3640,192.0,3436.0,12.0
2021/04/19,Centre,2953,378.0,2564.0,11.0
2020/12/15,Centre,1547,295.0,1245.0,7.0
2020/07/06,Centre,218,30.0,187.0,1.0
2021/03/11,Centre,2191,94.0,2086.0,11.0
2020/08/27,Centre,365,29.0,335.0,1.0
2021/01/29,Centre,2000,92.0,1900.0,8.0
2020/06/16,Centre,179,24.0,154.0,1.0
2021/05/20,Centre,3633,210.0,3411.0,12.0
2021/05/16,Centre,3577,290.0,3274.0,13.0
2020/12/17,Centre,1592,281.0,1304.0,7.0
2021/04/15,Centre,2858,387.0,2460.0,11.0
2021/01/05,Centre,1821,147.0,1666.0,8.0
2020/04/09,Centre,29,13.0,16.0,0.0
2020/09/21,Centre,421,22.0,398.0,1.0
2021/01/31,Centre,2013,96.0,1908.0,9.0
2021/01/25,Centre,1981,111.0,1862.0,8.0
2021/01/30,Centre,2005,90.0,1907.0,8.0
2020/11/11,Centre,802,182.0,617.0,3.0
2020/06/27,Centre,205,34.0,170.0,1.0
2020/09/14,Centre,411,32.0,378.0,1.0
2020/07/07,Centre,220,30.0,189.0,1.0
2021/03/12,Centre,2193,92.0,2090.0,11.0
2021/04/28,Centre,3172,332.0,2829.0,11.0
2021/03/03,Centre,2127,93.0,2024.0,10.0
2020/06/03,Centre,152,10.0,140.0,2.0
2020/12/16,Centre,1575,287.0,1281.0,7.0
2020/09/02,Centre,381,36.0,344.0,1.0
2021/01/06,Centre,1833,149.0,1676.0,8.0
2020/05/20,Centre,144,34.0,109.0,1.0
2020/11/02,Centre,651,118.0,530.0,3.0
2020/10/06,Centre,463,31.0,430.0,2.0
2020/10/19,Centre,523,57.0,464.0,2.0
2021/02/11,Centre,2060,88.0,1963.0,9.0
2020/09/29,Centre,442,23.0,418.0,1.0
2020/06/22,Centre,192,30.0,161.0,1.0
2020/10/26,Centre,572,75.0,494.0,3.0
2020/08/31,Centre,378,35.0,342.0,1.0
2020/11/29,Centre,1157,257.0,896.0,4.0
2021/03/31,Centre,2440,192.0,2237.0,11.0
2021/05/11,Centre,3522,349.0,3162.0,11.0
2020/05/28,Centre,152,23.0,127.0,2.0
2020/03/26,Centre,13,,,
2020/09/27,Centre,436,21.0,414.0,1.0
2021/05/12,Centre,3541,343.0,3187.0,11.0
2020/05/12,Centre,124,42.0,81.0,1.0
2020/05/10,Centre,125,50.0,74.0,1.0
2020/11/18,Centre,939,234.0,702.0,3.0
2021/05/10,Centre,3506,360.0,3135.0,11.0
2021/02/25,Centre,2098,100.0,1988.0,10.0
2021/04/08,Centre,2657,313.0,2333.0,11.0
2021/02/06,Centre,2044,96.0,1939.0,9.0
2021/03/26,Centre,2358,165.0,2182.0,11.0
2021/02/10,Centre,2056,84.0,1963.0,9.0
2020/06/18,Centre,181,25.0,155.0,1.0
2020/07/27,Centre,308,67.0,240.0,1.0
2021/02/23,Centre,2080,90.0,1980.0,10.0
2021/03/25,Centre,2337,156.0,2170.0,11.0
2020/09/01,Centre,379,35.0,343.0,1.0
2021/04/24,Centre,3069,325.0,2733.0,11.0
2021/01/14,Centre,1905,155.0,1742.0,8.0
2020/07/30,Centre,312,50.0,261.0,1.0
2021/04/22,Centre,3028,349.0,2668.0,11.0
2021/04/26,Centre,3111,325.0,2775.0,11.0
2020/06/10,Centre,165,13.0,151.0,1.0
2021/05/04,Centre,3345,356.0,2978.0,11.0
2020/11/30,Centre,1172,255.0,913.0,4.0
2020/11/23,Centre,1016,220.0,792.0,4.0
2020/11/19,Centre,955,220.0,732.0,3.0
2020/07/21,Centre,279,58.0,220.0,1.0
2020/09/28,Centre,438,23.0,414.0,1.0
2021/01/18,Centre,1931,134.0,1789.0,8.0
2021/05/27,Centre,3683,127.0,3543.0,13.0
2020/09/08,Centre,401,34.0,366.0,1.0
2020/04/23,Centre,49,20.0,29.0,0.0
2020/04/28,Centre,78,45.0,32.0,1.0
2020/09/07,Centre,398,38.0,359.0,1.0
2020/07/22,Centre,287,63.0,223.0,1.0
2020/07/29,Centre,310,55.0,254.0,1.0
2021/01/17,Centre,1928,147.0,1773.0,8.0
2021/01/16,Centre,1922,155.0,1759.0,8.0
2020/03/24,Centre,9,,,
2021/03/30,Centre,2424,190.0,2223.0,11.0
2021/03/28,Centre,2387,175.0,2201.0,11.0
2020/07/23,Centre,293,68.0,224.0,1.0
2021/02/24,Centre,2089,95.0,1984.0,10.0
2020/05/29,Centre,152,22.0,128.0,2.0
2020/08/26,Centre,362,30.0,331.0,1.0
2020/05/11,Centre,123,45.0,77.0,1.0
2020/11/25,Centre,1061,230.0,827.0,4.0
2020/06/21,Centre,190,33.0,156.0,1.0
2020/11/26,Centre,1078,232.0,842.0,4.0
2020/10/18,Centre,516,55.0,459.0,2.0
2020/10/12,Centre,485,45.0,438.0,2.0
2020/06/06,Centre,154,7.0,145.0,2.0
2021/01/21,Centre,1951,122.0,1821.0,8.0
2020/06/09,Centre,162,10.0,151.0,1.0
2020/04/24,Centre,54,24.0,29.0,1.0
2020/05/06,Centre,114,65.0,48.0,1.0
2021/05/02,Centre,3301,349.0,2941.0,11.0
2021/02/21,Centre,2069,80.0,1980.0,9.0
2020/11/24,Centre,1035,215.0,816.0,4.0
2021/01/15,Centre,1913,159.0,1746.0,8.0
2021/02/07,Centre,2047,90.0,1948.0,9.0
2020/03/22,Centre,3,,,
2021/03/27,Centre,2368,170.0,2187.0,11.0
2020/09/20,Centre,421,24.0,396.0,1.0
2020/11/28,Centre,1130,246.0,880.0,4.0
2020/08/10,Centre,324,9.0,314.0,1.0
2020/10/27,Centre,586,84.0,499.0,3.0
2020/07/26,Centre,305,70.0,234.0,1.0
2020/08/25,Centre,358,30.0,327.0,1.0
2021/04/09,Centre,2695,334.0,2350.0,11.0
2020/05/07,Centre,115,62.0,52.0,1.0
2020/04/17,Centre,38,11.0,27.0,0.0
2020/05/27,Centre,152,25.0,125.0,2.0
2020/08/11,Centre,327,11.0,315.0,1.0
2020/11/27,Centre,1099,229.0,866.0,4.0
2021/05/29,Centre,3700,115.0,3571.0,14.0
2021/05/28,Centre,3691,120.0,3558.0,13.0
2020/08/18,Centre,341,20.0,320.0,1.0
2021/05/03,Centre,3325,358.0,2956.0,11.0
2020/09/15,Centre,413,28.0,384.0,1.0
2020/06/20,Centre,188,31.0,156.0,1.0
2020/11/21,Centre,987,219.0,764.0,4.0
2020/09/30,Centre,442,23.0,418.0,1.0
2020/06/05,Centre,151,8.0,141.0,2.0
2020/10/08,Centre,471,36.0,433.0,2.0
2020/05/09,Centre,122,54.0,66.0,2.0
2021/02/22,Centre,2072,87.0,1976.0,9.0
2020/11/17,Centre,918,231.0,684.0,3.0
2020/09/09,Centre,401,32.0,368.0,1.0
2020/06/08,Centre,157,5.0,151.0,1.0
2020/06/23,Centre,192,26.0,165.0,1.0
2020/11/20,Centre,971,213.0,754.0,4.0
2021/01/22,Centre,1956,120.0,1828.0,8.0
2021/01/19,Centre,1941,126.0,1807.0,8.0
2021/05/13,Centre,3556,324.0,3221.0,11.0
2021/03/24,Centre,2311,145.0,2155.0,11.0
2021/02/12,Centre,2061,88.0,1964.0,9.0
2020/12/02,Centre,1240,290.0,945.0,5.0
2020/12/03,Centre,1271,300.0,966.0,5.0
2020/03/20,Centre,2,,,
2020/05/30,Centre,152,19.0,131.0,2.0
2020/09/22,Centre,427,23.0,403.0,1.0
2021/05/25,Centre,3664,133.0,3518.0,13.0
2020/06/11,Centre,167,15.0,151.0,1.0
2020/12/04,Centre,1309,317.0,987.0,5.0
2020/08/16,Centre,345,17.0,327.0,1.0
2021/04/06,Centre,2581,275.0,2295.0,11.0
2020/04/18,Centre,40,12.0,28.0,0.0
2021/02/20,Centre,2079,78.0,1992.0,9.0
2020/06/19,Centre,186,29.0,156.0,1.0
2020/07/19,Centre,272,54.0,217.0,1.0
2020/07/28,Centre,309,61.0,247.0,1.0
2021/02/27,Centre,2115,100.0,2005.0,10.0
2021/03/22,Centre,2276,132.0,2133.0,11.0
2021/01/12,Centre,1881,150.0,1724.0,7.0
2020/03/29,Centre,18,,,
2021/02/09,Centre,2050,84.0,1957.0,9.0
2020/05/15,Centre,131,32.0,98.0,1.0
2020/08/30,Centre,374,35.0,338.0,1.0
2020/10/20,Centre,529,59.0,468.0,2.0
2020/11/22,Centre,1008,233.0,771.0,4.0
2021/02/04,Centre,2036,99.0,1928.0,9.0
2021/02/08,Centre,2046,81.0,1956.0,9.0
2021/01/13,Centre,1901,153.0,1741.0,7.0
2020/10/28,Centre,593,85.0,505.0,3.0
2021/04/10,Centre,2731,361.0,2359.0,11.0
2020/03/27,Centre,15,,,
2020/05/31,Centre,152,19.0,131.0,2.0
2020/07/20,Centre,278,57.0,220.0,1.0
2021/02/05,Centre,2044,105.0,1930.0,9.0
2021/04/04,Centre,2536,263.0,2262.0,11.0
2020/05/14,Centre,128,34.0,93.0,1.0
2021/05/26,Centre,3676,129.0,3534.0,13.0
2021/05/30,Centre,3705,111.0,3579.0,15.0
2021/02/26,Centre,2103,97.0,1996.0,10.0
2020/12/01,Centre,1206,268.0,933.0,5.0
2021/01/20,Centre,1945,123.0,1814.0,8.0
2020/12/28,Centre North,1041,138.0,833.0,70.0
2020/07/27,Centre North,218,22.0,156.0,40.0
2020/08/26,Centre North,235,5.0,190.0,40.0
2020/05/22,Centre North,125,33.0,71.0,21.0
2021/03/11,Centre North,1387,40.0,1250.0,97.0
2020/11/23,Centre North,557,118.0,386.0,53.0
2020/07/28,Centre North,219,22.0,157.0,40.0
2021/05/29,Centre North,2131,43.0,1990.0,98.0
2020/07/01,Centre North,185,9.0,135.0,41.0
2020/11/21,Centre North,544,111.0,380.0,53.0
2020/05/07,Centre North,92,35.0,43.0,14.0
2021/05/30,Centre North,2132,37.0,1997.0,98.0
2020/04/11,Centre North,20,6.0,13.0,1.0
2021/01/29,Centre North,1275,72.0,1115.0,88.0
2020/11/22,Centre North,551,117.0,381.0,53.0
2020/07/02,Centre North,185,8.0,136.0,41.0
2021/04/15,Centre North,1718,193.0,1428.0,97.0
2021/01/27,Centre North,1270,83.0,1099.0,88.0
2020/12/21,Centre North,969,177.0,730.0,62.0
