name,local health area,Zone,active cases,recovered cases,total cases,deaths,dose 1,dose 2,total dose administered,# of total outbreaks,population,population region,population ratio,age (0-14),age (15-64),age (65-84),age (85+),male,female,avg household size,non-immigrants,immigrants,recent immigrants,non pr,aboriginal,no certificate,high school,post-secondary,# of population over 15,labour participation rate,employement rate,driver+passenger,public transit,walked+bike,low income
SUDER GREENS (4730) ( 4.5%),Jasper Place,Edmonton,3,91,99,5,935,184,1119,0,119,93155,0.035800547,725,2385,200,20,1580,1750,3.1,2255,1035,165,40,230,290,780,1525,2605,80.6,75.4,1615,225,10,115
WEBBER GREENS (4740) ( 4.2%),Jasper Place,Edmonton,2,69,75,4,701,138,839,0,67,93155,0.026836992,590,1675,135,100,1240,1260,3.2,1240,1225,345,35,50,270,395,1245,1910,73.6,68.1,995,195,30,80
ROSENTHAL (4750) ( 8.7%),Jasper Place,Edmonton,2,48,52,3,491,96,587,0,33,93155,0.018785894,450,1275,25,0,880,870,3.2,790,945,445,15,30,145,315,835,1295,87.6,83.8,890,140,10,70
CRAWFORD PLAINS (6140) ( 8.7%),Mill Woods South & East,Edmonton,13,425,441,3,3525,386,3911,0,325,66245,0.070043022,950,3350,325,15,2305,2330,3.1,3480,1095,315,65,220,615,1220,1855,3690,73.2,67.2,2055,285,20,370
DALY GROVE (6150) ( 6.4%),Mill Woods South & East,Edmonton,10,326,338,2,2705,296,3001,0,191,66245,0.053739905,615,2580,325,35,1800,1760,3,2350,1135,345,70,245,545,1050,1345,2940,70.2,64.3,1540,225,25,490
EKOTA (6200) ( 3.7%),Mill Woods South & East,Edmonton,7,236,245,2,1960,215,2175,0,100,66245,0.038946336,520,1775,270,15,1290,1285,3,1955,580,220,45,145,390,625,1050,2055,71.1,63.6,1000,210,50,365
GREENVIEW (6280) ( 2.5%),Mill Woods South & East,Edmonton,8,268,278,2,2226,244,2470,0,130,66245,0.044229753,590,1985,355,0,1515,1415,3,2130,735,165,60,120,290,635,1420,2340,71.8,65.6,1275,110,40,235
JACKSON HEIGHTS (6330) ( 3.2%),Mill Woods South & East,Edmonton,12,395,410,3,3274,358,3633,0,280,66245,0.065061514,810,2920,535,35,2145,2165,3.1,2530,1710,220,65,210,540,1125,1830,3495,68.5,61.5,1830,230,10,110
KINISKI GARDENS (6370) ( 3.7%),Mill Woods South & East,Edmonton,19,615,639,4,5105,559,5664,1,682,66245,0.101441618,1140,5060,485,40,3450,3275,3.1,4430,2215,380,70,275,800,1910,2870,5580,76.7,70.3,3410,275,55,545
LARKSPUR (6390) ( 5.6%),Mill Woods South & East,Edmonton,16,509,529,3,4228,463,4691,1,467,66245,0.08400634,1065,4035,440,25,2835,2730,3.1,3465,2070,495,35,190,680,1385,2440,4500,75.2,69.7,2630,250,60,255
MAPLE (6441) ( 5.2%),Mill Woods South & East,Edmonton,4,134,139,1,1113,122,1235,0,32,66245,0.022114877,370,1055,40,0,725,740,3,790,640,285,30,40,125,280,690,1095,84,75.8,705,85,10,135
SILVER BERRY (6442) ( 5.9%),Mill Woods South & East,Edmonton,25,802,832,5,6655,728,7384,1,1158,66245,0.132236395,2085,6155,480,35,4365,4395,3.3,4515,4020,915,220,225,1125,1915,3640,6675,76.9,69.8,3925,465,30,635
TAMARACK (6443) ( 4.8%),Mill Woods South & East,Edmonton,15,476,494,3,3947,432,4379,1,407,66245,0.078421013,1495,3515,175,10,2680,2510,3.3,2480,2535,955,175,125,480,935,2285,3700,78.2,71.4,2140,280,90,300
LAUREL (6444) ( 4.0%),Mill Woods South & East,Edmonton,21,671,696,4,5565,609,6174,1,810,66245,0.110574383,1895,5145,285,0,3725,3605,3.2,2705,4345,1710,275,120,745,1350,3345,5435,77.8,71.1,3090,520,25,485
MENISA (6450) ( 5.5%),Mill Woods South & East,Edmonton,7,232,241,1,1926,211,2137,0,97,66245,0.038267039,390,1805,340,0,1265,1270,2.8,2100,415,75,15,170,390,645,1115,2145,70.7,65.3,1175,145,20,200
MINCHAU (6530) ( 8.7%),Mill Woods South & East,Edmonton,9,292,303,2,2420,265,2685,0,153,66245,0.0480791,615,2245,300,25,1610,1575,3.1,2260,825,230,100,105,415,815,1340,2570,73.5,65,1385,185,25,235
SAKAW (6670) ( 5.6%),Mill Woods South & East,Edmonton,12,369,383,2,3065,336,3401,0,246,66245,0.060910257,765,2765,480,30,1980,2060,3,2860,1115,270,70,255,575,1130,1570,3275,70.8,63.1,1750,180,20,455
SATOO (6680) ( 5.4%),Mill Woods South & East,Edmonton,10,315,327,2,2613,286,2899,0,179,66245,0.051928447,670,2210,520,40,1705,1730,3,2570,820,205,45,225,465,970,1330,2765,66.4,59,1295,220,20,345
BISSET (6030) ( 6.6%),Mill Woods West,Edmonton,6,319,330,5,2983,454,3436,0,417,39225,0.103123008,750,2965,325,15,2075,1970,3,2460,1440,425,150,240,640,1120,1540,3300,73.5,64.5,1695,345,10,495
HILLVIEW (6300) ( 7.0%),Mill Woods West,Edmonton,6,288,297,4,2688,409,3097,0,339,39225,0.09292543,625,2580,420,20,1770,1875,2.9,2655,885,115,100,215,435,975,1605,3020,70.4,63.6,1525,240,70,480
KAMEYOSEK (6340) ( 6.4%),Mill Woods West,Edmonton,4,214,222,3,2002,304,2307,0,188,39225,0.069216061,705,1640,270,105,1370,1345,3.1,1690,975,400,50,120,475,595,955,2015,64.8,56.8,875,165,35,365
LEE RIDGE (6400) ( 8.1%),Mill Woods West,Edmonton,4,220,227,3,2054,312,2366,0,198,39225,0.071000637,630,1795,345,20,1435,1350,3.2,1725,1020,290,40,170,435,645,1080,2160,62.5,56,960,170,40,595
MEYOKUMIN (6460) ( 5.9%),Mill Woods West,Edmonton,5,239,247,3,2234,340,2574,0,234,39225,0.077246654,570,2215,250,0,1590,1440,3,1945,1020,335,65,110,385,800,1275,2465,73.2,68.1,1260,230,70,275
MEYONOHK (6470) ( 9.2%),Mill Woods West,Edmonton,5,243,251,3,2268,345,2612,0,241,39225,0.078393881,520,2120,420,15,1485,1585,2.9,2125,890,190,60,220,510,790,1250,2555,69.7,63.4,1265,215,40,275
MICHAELS PARK (6480) ( 6.4%),Mill Woods West,Edmonton,3,173,179,2,1619,246,1865,0,123,39225,0.05595921,365,1535,280,15,1030,1165,2.8,1415,730,190,50,90,290,605,935,1830,65.6,57.7,810,185,10,215
MILL WOODS TOWN CENTRE (6520) ( 8.6%),Mill Woods West,Edmonton,2,92,95,1,859,131,990,0,35,39225,0.029700446,115,635,295,115,505,660,2.4,625,470,190,65,10,285,240,525,1050,52.1,48.8,280,155,75,160
POLLARD MEADOWS (6580) ( 7.8%),Mill Woods West,Edmonton,7,354,366,5,3311,504,3815,0,514,39225,0.114467814,960,3085,410,30,2265,2225,3,2620,1700,620,170,215,665,1075,1790,3530,72.2,64,1850,285,60,620
RICHFIELD (6600) ( 7.4%),Mill Woods West,Edmonton,6,300,310,4,2802,426,3228,0,368,39225,0.096876992,1065,2330,390,15,1815,1980,3.3,2205,1500,615,95,250,555,735,1450,2730,64.9,58.5,1205,235,75,900
TAWA (6720) ( 7.0%),Mill Woods West,Edmonton,3,150,155,2,1397,213,1610,0,92,39225,0.048311026,255,1240,340,55,860,1035,2.7,1055,775,265,60,40,295,435,905,1640,63.3,57.8,715,115,65,185
TIPASKAN (6750) ( 9.7%),Mill Woods West,Edmonton,5,236,244,3,2205,335,2540,0,228,39225,0.076226896,655,2115,210,15,1480,1515,3,1495,1305,630,190,125,335,710,1295,2335,72.8,64,1090,335,25,520
TWEDDLE PLACE (6760) ( 4.9%),Mill Woods West,Edmonton,5,268,277,4,2504,381,2884,0,294,39225,0.086551944,770,2255,340,25,1665,1730,3.2,1910,1385,540,100,130,545,715,1365,2620,70,60.7,1150,305,30,465
BANNERMAN (2030) ( 7.2%),NE,Edmonton,6,205,213,2,1636,228,1865,0,97,80730,0.034621578,530,1980,280,10,1330,1465,2.7,2315,440,95,40,340,430,775,1060,2265,71.5,64.2,1090,260,35,395
BELMONT (2070) ( 7.1%),NE,Edmonton,11,396,411,4,3162,441,3603,0,361,80730,0.066889632,1145,3620,570,55,2610,2790,3.1,3735,1600,485,60,415,985,1295,1965,4250,71,64.5,2055,440,110,830
BELVEDERE (2080) ( 8.4%),NE,Edmonton,10,374,388,4,2986,417,3403,0,322,80730,0.063173541,930,3485,630,50,2590,2510,2.8,3480,1500,445,120,745,995,1325,1850,4170,64.6,57.6,1660,550,110,1105
BRINTNELL (2110) ( 2.4%),NE,Edmonton,14,501,520,6,4002,559,4560,1,579,80730,0.084664932,1775,4750,310,0,3400,3440,3.3,4245,2500,385,95,395,850,1440,2775,5065,79.7,72.2,2925,490,75,505
CANON RIDGE (2120) ( 3.9%),NE,Edmonton,5,166,173,2,1329,186,1515,0,64,80730,0.028118419,405,1595,260,10,1085,1180,2.7,1800,420,70,50,155,265,555,1040,1860,70.2,61.4,905,175,0,245
CASSELMAN (2130) ( 4.2%),NE,Edmonton,8,276,286,3,2204,308,2512,0,176,80730,0.046636938,725,2650,370,15,1800,1965,3,2625,1080,215,55,370,595,1010,1430,3040,70.1,64,1500,345,0,525
CLAREVIEW TOWN CENTRE (2145) ( 5.4%),NE,Edmonton,7,264,274,3,2108,294,2402,0,161,80730,0.044593088,590,2855,140,20,1780,1830,2.8,1930,1575,535,100,190,350,1050,1610,3015,79.8,70.3,1220,685,115,330
EBBERS (2251) ( 0.8%),NE,Edmonton,0,11,12,0,91,13,103,0,0,80730,0.00191998,40,100,15,0,95,60,3.1,45,105,75,0,10,35,30,60,115,91.3,73.9,70,15,0,
EVERGREEN (2270) ( 7.6%),NE,Edmonton,2,77,80,1,618,86,704,0,14,80730,0.013068252,145,740,175,0,550,510,2.7,1005,55,10,0,210,315,305,290,910,61,51.6,380,55,0,145
FRASER (2280) ( 6.8%),NE,Edmonton,8,281,292,3,2245,313,2559,0,182,80730,0.047504026,805,2725,285,10,1930,1900,3,2945,835,170,55,370,530,1025,1465,3020,74.2,69.3,1595,335,45,375
HAIRSINE (2320) ( 4.3%),NE,Edmonton,5,191,198,2,1525,213,1738,0,84,80730,0.032268054,495,1900,200,15,1285,1315,3,1950,615,120,40,280,465,755,890,2110,70.4,64.7,995,285,35,450
HOLLICK-KENYON (2340) ( 4.2%),NE,Edmonton,13,466,484,5,3724,520,4243,0,501,80730,0.078781122,1395,4540,405,20,3165,3190,3.1,4065,2160,415,140,170,850,1500,2615,4965,75.3,69.3,2765,395,65,435
HOMESTEADER (2350) ( 6.9%),NE,Edmonton,7,272,282,3,2172,303,2475,0,170,80730,0.045955655,955,2415,335,10,1880,1835,3.2,2660,985,295,70,445,605,905,1255,2760,67.9,61.6,1215,305,75,670
KERNOHAN (2390) ( 5.2%),NE,Edmonton,6,237,246,3,1897,265,2162,0,130,80730,0.040133779,540,2260,420,30,1590,1650,2.8,2465,710,150,70,305,445,890,1370,2705,68.5,61.5,1255,240,60,285
KIRKNESS (2430) ( 6.0%),NE,Edmonton,8,298,310,3,2383,333,2716,0,205,80730,0.050414963,800,2940,310,15,1980,2085,3.1,2680,1355,315,30,280,780,1095,1390,3265,73.7,63.3,1620,345,15,465
CRYSTALLINA NERA EAST (2462) ( 9.1%),NE,Edmonton,0,10,10,0,79,11,90,0,0,80730,0.001672241,20,115,0,0,85,50,3,105,25,25,0,10,10,20,90,115,91.7,83.3,85,10,0,
MATT BERRY (2500) ( 2.8%),NE,Edmonton,8,302,314,3,2415,337,2752,0,211,80730,0.051096247,765,2925,405,30,2095,2035,3.2,2530,1550,130,45,90,680,1030,1655,3360,71.4,65.3,1810,235,25,340
MCCONACHIE AREA (2521) ( 5.1%),NE,Edmonton,11,393,408,4,3141,439,3580,0,357,80730,0.066456088,1325,3910,135,0,2645,2720,3.1,3405,1855,550,100,220,510,1150,2380,4040,83.2,75.9,2585,295,30,410
MCLEOD (2530) ( 5.0%),NE,Edmonton,5,167,174,2,1338,187,1525,0,65,80730,0.028304224,345,1450,455,35,1180,1110,2.8,1785,480,40,15,75,335,740,865,1940,58.7,54.5,845,120,25,150
MILLER (2541) ( 3.6%),NE,Edmonton,6,222,231,2,1777,248,2025,0,114,80730,0.037594451,650,2025,295,60,1420,1615,3.1,1990,1010,205,35,175,455,655,1265,2380,74.2,67.9,1255,260,15,195
OVERLANDERS (2590) ( 8.2%),NE,Edmonton,6,218,226,2,1739,243,1982,0,109,80730,0.036789298,635,2115,200,15,1530,1435,2.9,2245,660,220,60,265,540,790,995,2330,73,64.2,1155,280,15,450
CY BECKER (2611) ( 4.2%),NE,Edmonton,2,58,60,1,460,64,524,0,8,80730,0.009723771,190,565,35,0,415,370,3,425,325,90,40,30,50,150,400,600,82.5,81.7,390,60,10,30
RURAL NORTH EAST HORSE HILL (2670) ( 11.0%),NE,Edmonton,1,32,33,0,255,36,290,0,2,80730,0.005388331,75,275,75,10,230,200,2.8,410,25,0,0,45,110,100,145,360,58.3,54.2,165,15,0,35
EDMONTON ENERGY AND TECHNOLOGY PARK (2681) ( 7.1%),NE,Edmonton,0,15,16,0,120,17,137,0,1,80730,0.002539329,25,135,35,10,95,105,2.6,180,20,10,0,30,50,55,75,180,63.9,44.4,50,0,0,
RURAL NORTH EAST SOUTH STURGEON (2690) ( 0.0%),NE,Edmonton,1,45,47,0,360,50,410,0,5,80730,0.007617986,65,475,65,10,310,295,3,490,125,0,0,20,70,155,325,545,76.1,68.8,300,35,10,0
SIFTON PARK (2710) ( 9.7%),NE,Edmonton,4,155,161,2,1241,173,1414,0,56,80730,0.026260374,430,1490,175,20,1090,1030,3,1260,775,350,80,95,355,480,850,1690,68,58.3,695,180,65,405
YORK (2720) ( 6.4%),NE,Edmonton,8,283,294,3,2260,316,2575,0,185,80730,0.0478137,675,2675,480,35,1930,1930,2.9,2860,950,295,55,385,755,1000,1430,3190,67.6,61.3,1550,265,35,365
BALWIN (2020) ( 8.8%),Northgate,Edmonton,7,299,310,4,2522,482,3005,1,219,71650,0.055268667,760,2645,455,100,2150,1805,3,2700,1165,215,95,480,1065,985,1150,3200,59.4,52.3,1275,265,60,850
BELLE RIVE (2050) ( 3.1%),Northgate,Edmonton,6,288,298,4,2427,464,2891,1,203,71650,0.053175157,625,2760,400,25,1850,1955,3.2,2120,1645,130,45,105,735,990,1465,3185,69.9,65.3,1790,180,15,275
DELWOOD (2230) ( 4.1%),Northgate,Edmonton,6,259,268,4,2181,417,2599,1,164,71650,0.047801814,530,2105,700,90,1695,1725,2.9,2660,715,65,40,300,835,920,1140,2895,62.9,55.6,1270,240,55,225
EAUX CLAIRES (2241) ( 4.2%),Northgate,Edmonton,6,254,263,3,2143,410,2553,1,158,71650,0.04696441,540,2490,300,30,1675,1690,3,2030,1265,140,65,80,550,895,1380,2820,73,66.1,1540,190,70,270
EVANSDALE (2260) ( 5.7%),Northgate,Edmonton,10,439,455,6,3701,708,4408,1,471,71650,0.081088625,1350,3670,720,65,2850,2955,3.1,3550,2150,655,115,280,1205,1345,1900,4460,60.3,53.6,2005,250,60,1420
GLENGARRY (2290) ( 7.9%),Northgate,Edmonton,5,217,225,3,1834,351,2185,0,116,71650,0.040195394,400,1910,495,80,1400,1490,2.8,2105,770,140,10,155,565,845,1075,2485,61.8,55.3,1035,245,30,365
KILDARE (2400) ( 8.6%),Northgate,Edmonton,4,192,199,3,1621,310,1931,0,90,71650,0.035519888,380,1575,515,80,1185,1360,2.9,1805,715,160,25,165,535,650,985,2170,58.2,51.5,840,180,65,355
KILKENNY (2410) ( 7.2%),Northgate,Edmonton,10,438,454,6,3697,707,4404,1,470,71650,0.081018842,1250,3790,715,50,2915,2890,3.1,4040,1690,445,75,660,1135,1510,1910,4550,64.7,58.1,2020,425,65,1030
KILLARNEY (2420) ( 6.2%),Northgate,Edmonton,8,338,350,5,2850,545,3395,1,279,71650,0.062456385,890,3115,405,70,2290,2185,2.9,3125,1185,490,160,665,925,1210,1450,3585,67.8,60.9,1620,380,100,810
KLARVATTEN (2440) ( 5.5%),Northgate,Edmonton,10,453,469,6,3822,731,4552,1,502,71650,0.083740405,1320,4400,260,20,2935,3065,3.2,4025,1920,195,45,170,780,1430,2465,4680,78,71.5,2795,345,35,415
CRYSTALLINA NERA WEST (2463) ( 8.2%),Northgate,Edmonton,2,69,72,1,586,112,698,0,12,71650,0.012840195,230,675,15,0,490,435,3.1,615,300,65,0,30,90,140,455,690,87.7,81.2,495,40,0,45
MAYLIEWAN (2511) ( 5.4%),Northgate,Edmonton,7,324,336,4,2732,522,3255,1,257,71650,0.059874389,785,3005,460,40,2175,2110,3.2,2630,1625,95,35,105,775,1245,1480,3500,69.5,64.6,1930,200,15,295
NORTHMOUNT (2580) ( 4.9%),Northgate,Edmonton,5,227,235,3,1911,365,2276,0,126,71650,0.041870202,480,1780,690,55,1520,1480,2.9,1935,1010,155,50,130,670,765,1095,2525,57.7,50,995,175,30,390
OZERNA (2600) ( 5.9%),Northgate,Edmonton,8,346,358,5,2917,558,3475,1,293,71650,0.063921842,720,3340,490,35,2270,2315,3.2,2735,1815,80,40,75,925,1220,1720,3865,69.5,65.8,2220,215,25,305
SCHONSEE (2700) ( 3.9%),Northgate,Edmonton,6,265,275,4,2239,428,2667,1,172,71650,0.04905792,855,2360,280,20,1670,1845,3.2,2120,1375,165,20,75,495,760,1405,2660,73.3,68.8,1595,150,15,255
CALDER (3070) ( 7.2%),Northgate,Edmonton,7,294,304,4,2478,474,2951,1,211,71650,0.054291696,580,2915,310,90,1985,1910,2.7,3020,835,165,40,555,750,1110,1450,3315,68.2,59.9,1535,310,70,510
KENSINGTON (3250) ( 4.2%),Northgate,Edmonton,6,277,287,4,2338,447,2784,1,188,71650,0.051221214,565,2340,635,130,1885,1780,2.9,2695,925,225,45,335,805,1035,1265,3110,63,54.9,1415,210,35,425
LAUDERDALE (3260) ( 7.0%),Northgate,Edmonton,5,219,227,3,1847,353,2200,0,117,71650,0.040474529,520,2000,330,50,1450,1445,2.8,2005,815,270,80,240,540,805,1035,2380,66.6,59,1040,240,65,605
ROSSLYN (3390) ( 5.6%),Northgate,Edmonton,5,212,220,3,1790,342,2132,0,110,71650,0.039218423,440,1860,435,75,1470,1335,2.9,2020,750,215,35,265,570,785,1015,2370,62.2,55.5,1055,155,65,350
RICHFORD (5451) ( 9.5%),Rutherford,Edmonton,2,51,52,0,477,61,538,0,4,85645,0.007122424,45,415,150,0,275,340,2.7,405,210,10,0,15,75,150,340,565,61.1,54,235,45,0,15
MACEWAN (5452) ( 5.3%),Rutherford,Edmonton,15,486,504,2,4586,589,5175,1,402,85645,0.068538735,1145,4320,380,25,2965,2900,3,3590,2140,480,140,130,410,1075,3245,4725,78.5,72,2690,485,50,340
BLACKMUD CREEK (5453) ( 4.3%),Rutherford,Edmonton,9,283,293,1,2672,343,3015,1,137,85645,0.039932279,700,2365,325,25,1640,1775,3,2150,1220,340,55,130,255,570,1895,2715,73.8,67.6,1470,175,25,85
RUTHERFORD (5454) ( 6.0%),Rutherford,Edmonton,28,887,918,4,8359,1074,9433,2,1337,85645,0.124934322,2640,7475,570,20,5280,5420,3.1,6760,3710,880,235,285,680,1800,5575,8060,78.5,72.4,4355,960,65,640
CALLAGHAN (5457) ( 5.2%),Rutherford,Edmonton,8,258,267,1,2430,312,2742,1,113,85645,0.036312686,645,2365,95,0,1505,1605,3,1860,1130,370,125,110,315,620,1530,2465,79.1,72,1355,265,0,290
ALLARD (5458) ( 3.0%),Rutherford,Edmonton,8,269,278,1,2535,326,2861,1,123,85645,0.03788896,770,2375,105,0,1660,1590,3.1,1610,1560,455,85,80,200,550,1730,2480,79,71.8,1355,310,10,185
CHAPPELLE AREA (5462) ( 7.9%),Rutherford,Edmonton,11,363,376,2,3422,440,3861,1,224,85645,0.051141339,1075,3255,55,0,2200,2180,3,2905,1390,530,90,125,255,845,2210,3305,87.6,81.7,2315,250,10,220
HERITAGE VALLEY TOWN CENTRE AREA (5464) ( 11.8%),Rutherford,Edmonton,2,48,50,0,457,59,516,0,4,85645,0.006830521,80,490,10,0,295,295,2.6,355,185,60,45,20,40,125,340,505,82,75,300,70,0,85
HAYS RIDGE AREA (5465) ( 2.3%),Rutherford,Edmonton,0,14,15,0,133,17,150,0,0,85645,0.001984938,30,130,0,0,90,80,3,130,45,10,0,0,25,20,100,135,78.6,71.4,90,0,0,
CAVANAGH (5467) ( 8.2%),Rutherford,Edmonton,0,14,14,0,129,17,145,0,0,85645,0.001926557,25,140,0,0,80,85,3.2,80,90,40,0,10,10,35,100,140,85.7,71.4,70,0,0,
GRAYDON HILL (5468) ( 10.3%),Rutherford,Edmonton,0,14,14,0,129,17,145,0,0,85645,0.001926557,25,140,0,0,90,75,2.7,80,75,65,15,0,15,30,95,140,78.6,71.4,60,25,0,
PAISLEY (5469) ( 5.6%),Rutherford,Edmonton,1,42,44,0,398,51,450,0,3,85645,0.005954813,110,400,0,0,280,225,2.9,345,145,60,15,25,20,75,310,400,91.2,81.2,275,45,0,20
AMBLESIDE (5505) ( 3.5%),Rutherford,Edmonton,14,437,452,2,4117,529,4646,1,324,85645,0.061533073,1120,3805,330,15,2535,2735,2.9,3285,1805,520,180,90,270,890,2995,4150,81.4,75.3,2615,225,75,400
WINDERMERE (5570) ( 5.0%),Rutherford,Edmonton,23,723,749,3,6816,876,7692,2,889,85645,0.101874015,1970,6285,415,50,4470,4255,3.1,5145,3365,690,205,160,490,1425,4840,6750,78.1,72.5,3880,450,60,460
KESWICK AREA (5576) ( 9.5%),Rutherford,Edmonton,2,51,52,0,477,61,538,0,4,85645,0.007122424,135,450,25,0,310,300,2.8,365,220,40,20,30,25,65,380,470,83.2,76.8,315,15,0,25
GLENRIDDING HEIGHTS (5578) ( 5.0%),Rutherford,Edmonton,4,129,134,1,1219,157,1375,0,28,85645,0.018214724,355,1175,30,0,790,770,3,720,765,315,80,30,100,220,885,1205,85.1,80.5,815,90,0,115
BLACKBURNE (5590) ( 3.1%),Rutherford,Edmonton,4,120,124,1,1129,145,1274,0,24,85645,0.016871972,165,985,280,15,685,760,2.8,1055,390,55,0,30,180,315,790,1285,63.4,61.1,640,55,20,70
ELLERSLIE (6211) ( 6.3%),Rutherford,Edmonton,16,508,526,2,4793,616,5409,1,439,85645,0.071632903,1460,4435,210,30,3165,2970,3.2,3515,2395,585,220,250,550,1315,2810,4675,81.4,73.6,2810,370,65,480
SUMMERSIDE (6213) ( 4.5%),Rutherford,Edmonton,37,1200,1242,5,11313,1453,12766,3,2448,85645,0.169069998,3645,10315,490,30,7185,7290,3.1,9410,4835,1085,235,350,1030,2550,7255,10835,82.9,76.6,6915,710,50,445
THE ORCHARDS AT ELLERSLIE (6216) ( 2.9%),Rutherford,Edmonton,3,103,106,0,969,124,1093,0,18,85645,0.01447837,270,950,20,0,590,655,2.9,705,525,205,15,25,80,175,710,965,88.6,83.4,670,90,10,30
CHARLESWORTH (6661) ( 6.9%),Rutherford,Edmonton,14,459,475,2,4324,555,4880,1,358,85645,0.06462724,1325,4020,185,10,2815,2720,3.2,2910,2510,735,120,105,535,1110,2575,4215,80.9,73.4,2585,330,10,300
WALKER (6662) ( 4.9%),Rutherford,Edmonton,20,639,662,3,6027,774,6802,1,695,85645,0.090081149,1970,5535,195,15,3920,3795,3.2,3355,4250,1745,110,165,655,1175,3915,5745,80.9,74.3,3390,640,30,490
ASPEN GARDENS (5020) ( 2.3%),Twin Brooks,Edmonton,2,66,69,1,1288,274,1562,0,44,72810,0.024721879,335,1165,275,20,880,920,3.2,1410,350,80,40,15,90,305,1070,1465,72,65.5,690,120,40,100
BEARSPAW (5030) ( 2.1%),Twin Brooks,Edmonton,2,76,79,1,1481,315,1796,0,59,72810,0.028430161,235,1310,470,60,1075,1000,2.8,1475,570,65,30,40,210,450,1175,1835,58.7,54.6,775,135,20,145
BLUE QUILL ESTATES (5070) ( 6.6%),Twin Brooks,Edmonton,1,51,53,1,998,212,1210,0,27,72810,0.019159456,265,900,205,20,720,670,3,805,505,190,80,15,120,275,730,1130,68.9,58.7,480,115,0,95
BRANDER GARDENS (5080) ( 6.0%),Twin Brooks,Edmonton,2,93,96,1,1810,385,2195,0,88,72810,0.034747974,515,1655,305,55,1205,1330,2.9,1845,610,225,75,75,185,485,1340,2015,67.1,60.1,905,180,10,475
BROOKSIDE (5090) ( 0.0%),Twin Brooks,Edmonton,2,76,79,1,1474,313,1787,0,58,72810,0.028292817,435,1250,345,25,1040,1020,3.1,1540,480,105,40,50,155,270,1190,1620,64.5,58.6,715,95,10,105
BULYEA HEIGHTS (5100) ( 1.8%),Twin Brooks,Edmonton,3,129,133,1,2504,532,3037,0,168,72810,0.04807032,460,2385,565,85,1700,1800,2.9,2345,1110,55,35,65,230,750,2055,3035,67.5,62.8,1395,180,35,95
CARTER CREST (5130) ( 1.7%),Twin Brooks,Edmonton,1,53,55,1,1023,218,1241,0,28,72810,0.019640159,230,920,275,10,695,735,3.2,1010,410,10,10,15,115,235,855,1200,66.8,61.8,620,50,10,35
FALCONER HEIGHTS (5190) ( 0.4%),Twin Brooks,Edmonton,2,66,69,1,1288,274,1562,0,44,72810,0.024721879,270,1205,300,30,905,900,3,1025,770,110,10,20,115,350,1070,1535,61.4,55.6,610,130,35,50
GRANDVIEW HEIGHTS (5210) ( 7.4%),Twin Brooks,Edmonton,1,38,39,0,733,156,889,0,14,72810,0.014077737,230,635,130,30,535,485,3.3,805,215,10,0,40,50,145,590,790,70.3,65.8,355,70,50,35
HENDERSON ESTATES (5230) ( 3.4%),Twin Brooks,Edmonton,2,71,73,1,1377,293,1670,0,51,72810,0.026438676,325,1260,320,20,960,965,3.2,1330,590,20,10,45,110,340,1145,1595,68.1,62.5,790,85,10,60
KEHEEWIN (5250) ( 5.7%),Twin Brooks,Edmonton,3,109,112,1,2111,449,2559,0,120,72810,0.040516413,465,1875,530,75,1385,1565,2.9,1945,915,205,85,70,305,625,1555,2480,63.2,58.4,1065,235,45,235
LANSDOWNE (5260) ( 0.0%),Twin Brooks,Edmonton,1,33,34,0,644,137,781,0,11,72810,0.012360939,160,545,185,10,455,440,3,750,145,0,0,40,55,150,540,740,66.2,64.2,315,60,25,90
OGILVIE RIDGE (5300) ( 2.5%),Twin Brooks,Edmonton,1,40,42,0,780,166,946,0,16,72810,0.014970471,155,715,185,30,550,535,3,805,275,20,10,10,55,175,700,930,67.2,63.4,475,30,0,15
RAMSAY HEIGHTS (5340) ( 4.0%),Twin Brooks,Edmonton,3,134,138,1,2594,551,3145,0,180,72810,0.049787117,635,2335,610,50,1745,1885,2.9,2590,985,285,50,110,265,600,2130,2995,68.3,62.8,1395,240,35,210
RHATIGAN RIDGE (5350) ( 0.5%),Twin Brooks,Edmonton,3,120,124,1,2325,494,2820,0,145,72810,0.044636726,595,2060,545,50,1610,1635,3.1,2240,980,110,25,40,205,520,1935,2655,63.8,60.3,1220,120,60,90
SKYRATTLER (5460) ( 7.6%),Twin Brooks,Edmonton,2,82,85,1,1599,340,1939,0,69,72810,0.030696333,295,1670,260,10,1055,1185,2.7,1600,580,185,50,105,205,515,1225,1940,73.7,64.2,910,220,45,355
MAGRATH HEIGHTS (5476) ( 3.4%),Twin Brooks,Edmonton,3,139,144,1,2694,573,3266,0,195,72810,0.05170993,840,2525,330,70,1830,1935,3.3,2345,1355,190,65,70,350,600,1975,2930,71.5,67.6,1505,195,40,225
MACTAGGART (5477) ( 3.1%),Twin Brooks,Edmonton,3,108,111,1,2089,444,2533,0,117,72810,0.040104381,725,1950,245,0,1465,1455,3.2,1885,995,275,45,35,185,460,1540,2195,73.8,67.4,1195,130,10,135
TWIN BROOKS (5511) ( 3.8%),Twin Brooks,Edmonton,6,240,248,2,4654,989,5644,1,581,72810,0.089342123,980,4480,990,60,3235,3275,3,4245,2130,220,135,205,625,1305,3600,5530,68.7,63.9,2760,415,75,400
