name,local health area,Zone,active cases,recovered cases,total cases,deaths,dose 1,dose 2,total dose administered,# of total outbreaks,population,population region,population ratio,age (0-14),age (15-64),age (65-84),age (85+),male,female,avg household size,non-immigrants,immigrants,recent immigrants,non pr,aboriginal,no certificate,high school,post-secondary,# of population over 15,labour participation rate,employement rate,driver+passenger,public transit,walked+bike,low income
BONNIE DOON (6040) ( 6.0%),Bonnie Doon,Edmonton,3,170,178,5,3063,542,3605,0,215,89895,0.048945993,515,3285,475,125,2240,2160,2.7,3565,675,95,160,245,425,925,2535,3885,73.4,66.8,1770,325,250,480
CAPILANO (6061) ( 2.3%),Bonnie Doon,Edmonton,2,109,114,3,1956,346,2302,0,88,89895,0.031258691,435,1830,470,70,1425,1380,2.9,2495,305,10,10,105,160,565,1650,2375,68.4,64.2,1235,95,50,95
CLOVERDALE (6070) ( 8.0%),Bonnie Doon,Edmonton,1,37,39,1,668,118,787,0,10,89895,0.010679126,125,735,90,10,505,455,2.6,835,100,10,20,25,50,155,625,830,74.1,70.5,480,35,25,40
CPR IRVINE (6110) ( 12.6%),Bonnie Doon,Edmonton,0,8,8,0,139,25,164,0,0,89895,0.002224818,0,195,0,0,115,80,2.1,160,20,0,15,15,0,70,125,195,84.6,79.5,90,25,20,
FOREST HEIGHTS (6230) ( 1.9%),Bonnie Doon,Edmonton,2,148,155,5,2663,471,3134,0,163,89895,0.042549641,425,2720,550,125,1940,1880,2.6,3165,580,75,80,230,525,830,2045,3395,68.8,62.7,1605,295,80,390
FULTON PLACE (6240) ( 4.8%),Bonnie Doon,Edmonton,1,85,89,3,1532,271,1802,0,54,89895,0.024472996,250,1495,365,85,1125,1075,2.6,2005,175,25,20,160,270,475,1195,1950,63.2,56.8,805,140,65,115
GOLD BAR (6270) ( 7.8%),Bonnie Doon,Edmonton,2,109,114,3,1963,347,2310,0,88,89895,0.031369932,510,1890,360,60,1360,1455,2.9,2465,295,130,60,190,365,710,1240,2310,70.8,63.9,1185,135,80,290
HAZELDEAN (6290) ( 7.1%),Bonnie Doon,Edmonton,2,127,133,4,2280,403,2683,0,119,89895,0.036431392,590,2365,275,45,1705,1570,2.7,2860,375,120,45,320,345,695,1645,2690,75,66.9,1305,170,190,305
HOLYROOD (6310) ( 4.5%),Bonnie Doon,Edmonton,2,130,136,4,2339,414,2753,0,126,89895,0.03737694,540,2365,390,65,1690,1675,2.8,2960,365,50,35,185,360,740,1720,2825,70.4,65.2,1385,225,105,255
IDYLWYLDE (6320) ( 3.3%),Bonnie Doon,Edmonton,1,67,70,2,1201,212,1413,0,33,89895,0.019189054,185,1110,370,65,805,920,2.5,1300,350,115,70,120,215,365,965,1545,59.5,53.4,560,190,15,180
KENILWORTH (6350) ( 5.6%),Bonnie Doon,Edmonton,2,98,103,3,1768,313,2081,0,72,89895,0.028255187,295,1660,515,75,1235,1305,2.6,2110,390,55,40,190,400,610,1235,2245,63.8,59.2,1110,125,30,155
KING EDWARD PARK (6360) ( 7.4%),Bonnie Doon,Edmonton,3,181,189,6,3258,576,3834,0,244,89895,0.052060738,570,3715,320,80,2430,2250,2.6,3890,665,180,135,330,695,1065,2355,4110,76.9,70.4,2195,375,155,450
MAPLE RIDGE (6410) ( 5.1%),Bonnie Doon,Edmonton,1,66,69,2,1180,209,1389,0,32,89895,0.018855331,205,1225,255,15,875,825,2.5,1580,120,10,0,140,380,540,575,1490,65.4,59.7,755,105,0,215
MAPLE RIDGE INDUSTRIAL (6420) ( 29.4%),Bonnie Doon,Edmonton,0,4,5,0,80,14,94,0,0,89895,0.00127927,15,55,45,0,65,50,2.7,90,25,0,0,15,20,30,50,105,60,45,25,0,0,
OTTEWELL (6550) ( 5.7%),Bonnie Doon,Edmonton,4,223,233,7,4010,709,4719,0,369,89895,0.064074754,755,3840,975,190,2905,2850,2.8,4945,755,210,60,345,765,1255,2980,5005,65,58.1,2225,315,185,275
RITCHIE (6610) ( 8.2%),Bonnie Doon,Edmonton,3,158,165,5,2840,502,3343,0,185,89895,0.045386284,380,3240,385,80,2035,2045,2.5,3310,650,215,120,220,420,840,2440,3695,75.7,69.7,1830,335,230,420
STRATHEARN (6710) ( 5.9%),Bonnie Doon,Edmonton,2,96,100,3,1726,305,2032,0,68,89895,0.027587741,370,1885,190,35,1250,1230,2.7,2010,435,135,35,215,200,510,1395,2105,76,69.1,1085,190,95,235
