num,name,local_health_area,zone,active_cases,recovered_cases,total_cases,deaths,dose_1,dose_2,total_dose_administered,number_of_total_outbreaks,outbreak_severity,population,population_region,population_ratio,age_0_14,age_15_64,age_65_84,age_85,male,female,avg_household_size,non_immigrants,immigrants,recent_immigrants,non_pr,aboriginal,no_certificate,high_school,post_secondary,number_of_population_over_15,labour_participation_rate,employement_rate,driver_passenger,public_transit,walked_bike,low_income
38,BATURYN (3030) ( 4.3%),Castle Downs,Edmonton,10,374,386,2,2851,474,3325,0,safe,350,69790,0.07078378,1010,3270,625,35,2485,2460,3.0,3840,1045,120,60,395,785,1285,1855.0,3930.0,64.0,58.1,1890,250.0,35,570.0
39,BEAUMARIS (3040) ( 6.6%),Castle Downs,Edmonton,9,345,356,1,2628,437,3066,0,safe,297,69790,0.06526723,780,2645,970,165,2140,2415,3.0,2890,1620,350,50,210,810,1195,1770.0,3780.0,54.2,49.3,1540,175.0,25,740.0
40,CAERNARVON (3060) ( 5.2%),Castle Downs,Edmonton,9,334,344,1,2542,423,2965,0,safe,278,69790,0.063117925,945,2940,500,20,2110,2295,3.1,2925,1380,365,105,270,685,1155,1620.0,3460.0,68.5,61.6,1685,235.0,45,770.0
41,CANOSSA (3080) ( 4.0%),Castle Downs,Edmonton,7,259,267,1,1973,328,2302,0,safe,168,69790,0.049004155,765,2390,240,25,1685,1735,3.1,2345,1055,105,25,90,465,765,1425.0,2655.0,77.5,71.7,1620,160.0,20,185.0
42,CARLISLE (3090) ( 4.9%),Castle Downs,Edmonton,8,297,306,1,2259,376,2635,0,safe,220,69790,0.056096862,845,2610,420,35,2030,1885,3.2,2610,1275,315,35,295,765,995,1310.0,3070.0,69.4,60.6,1540,165.0,35,605.0
43,GRIESBACH (3111) ( 7.3%),Castle Downs,Edmonton,9,338,349,1,2577,429,3005,0,safe,286,69790,0.063977647,1110,3015,315,25,2120,2350,3.0,3300,1125,215,45,280,425,810,2120.0,3355.0,77.8,73.6,2090,205.0,20,190.0
44,CHAMBERY (3120) ( 6.6%),Castle Downs,Edmonton,6,206,212,1,1570,261,1831,0,safe,106,69790,0.038974065,775,1825,105,20,1350,1370,3.6,1810,900,70,15,85,305,605,1035.0,1945.0,77.6,74.0,1240,100.0,0,245.0
45,CUMBERLAND (3150) ( 0.5%),Castle Downs,Edmonton,13,495,511,2,3774,628,4402,0,safe,613,69790,0.093709701,1520,4640,365,20,3245,3295,3.1,4380,2030,280,130,160,740,1500,2785.0,5020.0,77.6,71.6,3010,285.0,75,255.0
46,DUNLUCE (3180) ( 5.3%),Castle Downs,Edmonton,13,495,511,2,3774,628,4402,0,safe,613,69790,0.093709701,1340,4505,660,35,3305,3230,3.0,4925,1540,390,70,515,1055,1725,2420.0,5200.0,69.9,63.3,2640,425.0,70,1130.0
47,ELSINORE (3190) ( 1.1%),Castle Downs,Edmonton,4,156,161,1,1192,198,1390,0,safe,61,69790,0.029588766,335,1360,320,50,945,1115,3.0,1475,585,50,0,20,245,420,1065.0,1730.0,69.3,64.6,950,100.0,20,45.0
48,LORELEI (3280) ( 6.0%),Castle Downs,Edmonton,9,330,340,1,2513,418,2931,0,safe,272,69790,0.06240149,885,2860,585,25,2205,2155,3.1,2815,1440,375,105,360,765,1100,1605.0,3475.0,63.4,57.2,1565,260.0,45,765.0
49,OXFORD (3320) ( 2.7%),Castle Downs,Edmonton,8,296,305,1,2253,375,2628,0,safe,218,69790,0.055953575,760,2800,330,10,1925,1980,3.3,2380,1470,240,50,120,580,935,1625.0,3140.0,70.6,65.3,1735,180.0,35,355.0
50,PEMBINA (3340) ( 9.1%),Castle Downs,Edmonton,1,42,44,0,323,54,377,0,safe,4,69790,0.008024072,70,395,85,10,290,270,2.6,340,215,25,10,15,95,115,280.0,490.0,70.1,66.0,285,0.0,20,80.0
